K,Threads,Run,Time
200,2,1,
200,2,2,
200,2,3,
200,4,1,
200,4,2,
200,4,3,
200,8,1,
200,8,2,
200,8,3,
200,16,1,
200,16,2,
200,16,3,
200,32,1,
200,32,2,
200,32,3,
400,2,1,
400,2,2,
400,2,3,
400,4,1,
400,4,2,
400,4,3,
400,8,1,
400,8,2,
400,8,3,
400,16,1,
400,16,2,
400,16,3,
400,32,1,
400,32,2,
400,32,3,
800,2,1,
800,2,2,
800,2,3,
800,4,1,
800,4,2,
800,4,3,
800,8,1,
800,8,2,
800,8,3,
800,16,1,
800,16,2,
800,16,3,
800,32,1,
800,32,2,
800,32,3,
